state,scenario,urban_fiber_locations,urban_fw_locations,urban_sat_locations,rural_fiber_locations,rural_fw_locations,rural_sat_locations,tribal_fiber_locations,tribal_fw_locations,tribal_sat_locations,cost_urban_fiber,cost_urban_fw,cost_urban_sat,cost_rural_fiber,cost_rural_fw,cost_rural_sat,cost_tribal_fiber,cost_tribal_fw,cost_tribal_sat,fiber_spent,fw_spent,sat_spent,total_spent,fiber_served,fw_served,sat_served,fiber_ratio,fw_ratio,sat_ratio,remaining_funds,unserved_remaining,success,message
AL,ALL_L,169049.0,0.0,0.0,37310.0,0.0,0.0,920.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,818607800.0,0.0,0.0,818607800.0,207279.0,0.0,0.0,1.0,0.0,0.0,582614101.77,0.0,True,
AK,ALL_L,5043.0,0.0,0.0,78993.0,0.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,801024600.0,0.0,0.0,801024600.0,84036.0,0.0,0.0,1.0,0.0,0.0,216115072.41999996,0.0,True,
AZ,ALL_L,92604.0,0.0,0.0,69186.0,0.0,0.0,850.0,14761.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,963588800.0,29522000.0,0.0,993110800.0,162640.0,14761.0,0.0,0.9167930282241926,0.08320697177580735,0.0,1431.3700000047684,0.0,True,
AR,ALL_L,80112.0,0.0,0.0,22595.0,0.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,402196400.0,0.0,0.0,402196400.0,102707.0,0.0,0.0,1.0,0.0,0.0,622107593.86,0.0,True,
CA,ALL_L,118350.0,0.0,0.0,97666.0,0.0,0.0,6988.0,34012.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,1796070000.0,68024000.0,0.0,1864094000.0,223004.0,34012.0,0.0,0.8676658262520621,0.13233417374793788,0.0,42508.93000006676,0.0,True,
CO,ALL_L,51123.0,0.0,0.0,64197.0,0.0,0.0,832.0,2733.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,821000600.0,5466000.0,0.0,826466600.0,116152.0,2733.0,0.0,0.9770113975690794,0.022988602430920636,0.0,56050.40999996662,0.0,True,
CT,ALL_L,4618.0,0.0,0.0,457.0,0.0,0.0,4.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,15049600.0,0.0,0.0,15049600.0,5079.0,0.0,0.0,1.0,0.0,0.0,129131192.71000001,0.0,True,
DE,ALL_L,5959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,13109800.0,0.0,0.0,13109800.0,5959.0,0.0,0.0,1.0,0.0,0.0,94638584.66,0.0,True,
DC,ALL_L,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,217800.0,0.0,0.0,217800.0,99.0,0.0,0.0,1.0,0.0,0.0,100476986.93,0.0,True,
FL,ALL_L,209911.0,0.0,0.0,27126.0,0.0,0.0,5355.0,4208.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,1161464200.0,8416000.0,0.0,1169880200.0,242392.0,4208.0,0.0,0.9829359286293593,0.017064071370640713,0.0,67192.70000004768,0.0,True,
