state,scenario,urban_fiber_locations,urban_fw_locations,urban_sat_locations,rural_fiber_locations,rural_fw_locations,rural_sat_locations,tribal_fiber_locations,tribal_fw_locations,tribal_sat_locations,cost_urban_fiber,cost_urban_fw,cost_urban_sat,cost_rural_fiber,cost_rural_fw,cost_rural_sat,cost_tribal_fiber,cost_tribal_fw,cost_tribal_sat,fiber_spent,fw_spent,sat_spent,total_spent,fiber_served,fw_served,sat_served,fiber_ratio,fw_ratio,sat_ratio,remaining_funds,unserved_remaining,success,message
AL,ALL_L,169049.0,0.0,0.0,37310.0,0.0,0.0,920.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,818607800.0,0.0,0.0,818607800.0,207279.0,0.0,0.0,1.0,0.0,0.0,582614101.77,0.0,True,
AK,ALL_L,5043.0,0.0,0.0,78993.0,0.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,801024600.0,0.0,0.0,801024600.0,84036.0,0.0,0.0,1.0,0.0,0.0,216115072.41999996,0.0,True,
AZ,ALL_L,92604.0,0.0,0.0,69186.0,0.0,0.0,1219.0,1.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,993108800.0,2000.0,0.0,993110800.0,163009.0,1.0,0.0,0.9188730615949178,5.63694680413301e-06,0.0,1431.3700000047684,14391.0,True,
AR,ALL_L,80112.0,0.0,0.0,22595.0,0.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,402196400.0,0.0,0.0,402196400.0,102707.0,0.0,0.0,1.0,0.0,0.0,622107593.86,0.0,True,
CA,ALL_L,118350.0,0.0,0.0,97666.0,0.0,0.0,7838.0,33.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,1864070000.0,66000.0,0.0,1864136000.0,223854.0,33.0,0.0,0.8709730133532543,0.00012839667569334204,0.0,508.9300000667572,33129.0,True,
CO,ALL_L,51123.0,0.0,0.0,64197.0,0.0,0.0,901.0,1.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,826520600.0,2000.0,0.0,826522600.0,116221.0,1.0,0.0,0.9775917903856668,8.411490095470413e-06,0.0,50.4099999666214,2663.0,True,
CT,ALL_L,4618.0,0.0,0.0,457.0,0.0,0.0,4.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,15049600.0,0.0,0.0,15049600.0,5079.0,0.0,0.0,1.0,0.0,0.0,129131192.71000001,0.0,True,
DE,ALL_L,5959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,13109800.0,0.0,0.0,13109800.0,5959.0,0.0,0.0,1.0,0.0,0.0,94638584.66,0.0,True,
DC,ALL_L,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,217800.0,0.0,0.0,217800.0,99.0,0.0,0.0,1.0,0.0,0.0,100476986.93,0.0,True,
FL,ALL_L,209911.0,0.0,0.0,27126.0,0.0,0.0,5461.0,1.0,0.0,2200.0,800.0,1200.0,10000.0,1000.0,1500.0,80000.0,2000.0,2000.0,1169944200.0,2000.0,0.0,1169946200.0,242498.0,1.0,0.0,0.9833657745336577,4.0551500405515e-06,0.0,1192.7000000476837,4101.0,True,
